Date,Real Rate,Policy Deviations,TR Cape,M2 (in Billions),Gold,BAA Spread,Bank Credit (in Billions),VIX,Michigan Sentiment 
2/1/14,1.15519,0.56882,27.17,11183.2,1244.8,2.39,9938.0622,21.44,81.6
3/1/14,1.07434,0.48797,27.57,11219.1,1301,2.34,10012.8676,16,80
4/1/14,0.88894,0.03156,27.37,11264,1336.1,2.19,10057.3055,13.1,84.1
5/1/14,0.61447,-0.24291,27.54,11328.5,1299,2.2,10114.5422,13.25,81.9
6/1/14,0.67714,-0.18025,28.21,11383.7,1287.5,2.2,10181.3568,11.58,82.5
7/1/14,0.69504,-0.26916,28.49,11438.4,1279.1,2.19,10249.0402,11.15,81.8
8/1/14,0.6836,-0.2806,28.26,11462.5,1311,2.27,10300.6652,17.03,82.5
9/1/14,0.78905,-0.17515,28.58,11503.7,1296,2.27,10354.4754,12.25,84.6
10/1/14,0.48237,-0.37611,27.74,11577.5,1238.8,2.39,10383.265,16.71,86.9
11/1/14,0.58841,-0.27008,29.32,11618.2,1222.5,2.46,10441.4866,14.73,88.8
12/1/14,0.58758,-0.2709,29.52,11701.9,1176.3,2.53,10536.8154,14.29,93.6
1/1/15,0.24837,-0.62138,29.17,11788.8,1202.3,2.57,10621.8032,17.79,98.1
2/1/15,0.29192,-0.57783,29.72,11905.6,1251.9,2.53,10706.8037,19.43,95.4
3/1/15,0.29462,-0.57513,29.42,11903.7,1227.2,2.5,10797.374,13.04,93
4/1/15,0.13717,-0.82315,29.48,11937.6,1178.6,2.54,10861.3517,15.11,95.9
5/1/15,0.44906,-0.51126,29.49,11965,1197.9,2.69,10927.7985,12.7,90.7
6/1/15,0.58273,-0.37758,29.14,12005.6,1199.1,2.77,10984.3688,13.97,96.1
7/1/15,0.48537,-0.40324,29.01,12049.2,1181.5,2.88,11009.7364,16.09,93.1
8/1/15,0.31937,-0.56924,28.25,12093.7,1130,3.02,11075.9366,12.56,91.9
9/1/15,0.2729,-0.61571,26.94,12154.8,1117.5,3.17,11115.6612,31.4,87.2
10/1/15,0.15647,-0.63086,28.03,12206.1,1124.5,3.27,11176.9416,22.55,90
11/1/15,0.26257,-0.52476,28.83,12297.5,1159.3,3.2,11260.2384,14.15,91.3
12/1/15,0.16849,-0.61884,28.54,12368.7,1085.7,3.22,11342.1351,14.67,92.6
1/1/16,-0.05502,-0.9445,26.61,12506,1068.3,3.36,11402.8882,20.7,92
2/1/16,-0.44257,-1.33205,26.39,12578.2,1097.4,3.56,11474.9212,19.98,91.7
3/1/16,-0.25243,-1.1419,27.89,12629,1199.9,3.24,11559.5318,17.7,91
4/1/16,-0.34665,-1.26173,28.5,12708,1246.3,2.98,11634.5503,13.1,89
5/1/16,-0.44456,-1.35964,28.24,12775,1242.3,2.87,11713.7282,14.68,94.7
6/1/16,-0.62221,-1.53729,28.4,12835.4,1259.4,2.89,11780.4052,14.2,93.5
7/1/16,-0.67014,-1.62024,29.33,12889.7,1276.4,2.72,11861.4085,14.77,90
8/1/16,-0.74873,-1.69883,29.61,12973.9,1337.3,2.68,11905.1531,12.44,89.8
9/1/16,-0.64112,-1.59122,29.36,13034.2,1341.1,2.68,11987.548,13.48,91.2
10/1/16,-0.44456,-1.35624,29.13,13107.5,1326,2.62,12060.7051,13.57,87.2
11/1/16,-0.00542,-0.9171,29.48,13181,1266.6,2.57,12079.2,18.56,93.8
12/1/16,0.29288,-0.61881,30.59,13226.1,1236,2.34,12074.4198,14.07,98.2
1/1/17,0.17979,-0.74744,30.79,13300.7,1151.4,2.23,12107.8116,12.85,98.5
2/1/17,0.18465,-0.74258,31.43,13367.3,1192.6,2.22,12150.0574,11.81,96.3
3/1/17,0.43415,-0.49308,31.89,13428.7,1234.4,2.2,12165.4433,12.54,96.9
4/1/17,0.40343,-0.47472,31.67,13484.7,1231.1,2.27,12197.3209,12.38,97
5/1/17,0.56291,-0.31525,32.1,13536.7,1265.6,2.25,12241.9809,10.11,97.1
6/1/17,0.49088,-0.38727,32.56,13558.5,1245,2.18,12248.9248,9.89,95
7/1/17,0.64304,-0.26613,32.82,13615.4,1260.3,2.07,12294.512,11.22,93.4
8/1/17,0.55476,-0.35441,32.71,13674.6,1236.2,2.1,12326.1388,10.09,96.8
9/1/17,0.60461,-0.30456,32.97,13723,1282.3,2.1,12378.0644,10.13,95.1
10/1/17,0.60036,-0.48882,33.78,13782.3,1315,1.96,12445.6095,9.45,100.7
11/1/17,0.61239,-0.47679,34.17,13814.9,1279.5,1.92,12488.7953,10.2,98.5
12/1/17,0.62983,-0.45935,35.02,13873.8,1282.3,1.82,12548.7543,11.43,95.9
1/1/18,0.68873,-0.52808,36.33,13883.2,1261.3,1.68,12569.4399,9.77,95.7
2/1/18,0.9823,-0.23452,34.93,13919.3,1331.7,1.65,12578.1519,13.47,99.7
3/1/18,0.71722,-0.4996,34.68,13976,1331.5,1.8,12592.3961,22.47,101.4
4/1/18,0.71936,-0.47056,33.75,13993.9,1324.7,1.8,12654.4284,23.62,98.8
5/1/18,0.707,-0.48291,34.04,14049.6,1334.7,1.85,12685.5633,15.49,98
6/1/18,0.66448,-0.52543,34.46,14109.9,1303,1.92,12762.8178,13.46,98.2
7/1/18,0.6224,-0.49993,34.73,14144.2,1281.6,1.9,12805.6329,15.6,97.9
8/1/18,0.76911,-0.35323,35.27,14193.9,1238.5,1.88,12822.2098,13.15,96.2
9/1/18,0.80232,-0.32001,35.52,14229.3,1201.3,1.88,12864.1151,13.16,100.1
10/1/18,1.02359,-0.04147,33.79,14241.4,1198.5,1.92,12905.8953,12,98.6
11/1/18,0.90462,-0.16044,32.88,14260.8,1215.4,2.1,12953.8718,19.34,97.5
12/1/18,0.58147,-0.48359,30.82,14382.6,1221,2.3,13076.252,16.44,98.3
1/1/19,0.53057,-0.55114,30.93,14446.1,1247.9,2.41,13179.1782,23.22,91.2
2/1/19,0.53891,-0.5428,32.21,14481.2,1291.8,2.27,13225.5637,16.14,93.8
3/1/19,0.50344,-0.57827,32.26,14526.2,1320.1,2.27,13272.8558,13.57,98.4
4/1/19,0.43866,-0.72808,32.88,14554.5,1300.9,2.17,13332.1733,13.4,97.2
5/1/19,0.42757,-0.73917,31.93,14652.4,1286.5,2.23,13402.6726,14.8,100
6/1/19,-0.0046,-1.17134,31.99,14771.4,1284,2.39,13474.5207,18.86,98.2
7/1/19,-0.1057,-1.39513,32.77,14853.5,1359,2.22,13530.402,14.06,98.4
8/1/19,-0.69114,-1.98056,31.39,14934.7,1413,2.24,13615.9855,17.87,89.8
9/1/19,-0.63001,-1.91943,31.97,15031.4,1498.8,2.21,13720.9958,19.66,93.2
10/1/19,-0.62781,-1.90011,31.56,15167.3,1511.3,2.21,13759.1768,18.56,95.5
11/1/19,-0.5447,-1.81699,32.66,15276.9,1494.8,2.13,13821.8873,12.3,96.8
12/1/19,-0.4306,-1.70289,33.21,15348,1470,2.02,13862.3819,14.91,99.3
1/1/20,-0.52174,-1.80088,33.92,15416.8,1476,2.01,13879.737,12.47,99.8
2/1/20,-0.86766,-2.1468,33.64,15467,1560.7,2.11,13946.9897,17.97,101
3/1/20,-1.22774,-2.50688,27.18,15993.8,1597.1,3.42,14413.0637,33.42,89.1
4/1/20,-0.77093,-2.01898,28.41,17005.8,1591.9,3.47,14778.6446,57.06,71.8
5/1/20,-0.54846,-1.7965,29.95,17853.4,1682.9,3.28,14863.8353,37.19,72.3
6/1/20,-0.45368,-1.70173,31.61,18141.1,1716.4,2.91,14863.9919,28.23,78.1
7/1/20,-0.9407,-2.2573,32.45,18298,1732.2,2.69,14916.5131,28.62,72.5
8/1/20,-1.07239,-2.389,34.17,18364.3,1843.3,2.62,14937.3695,24.28,74.1
9/1/20,-1.03906,-2.35567,33.82,18596.6,1968.6,2.68,14975.2302,26.12,80.4
10/1/20,-0.84641,-2.14235,34.31,18751.3,1922.2,2.65,14976.987,26.7,81.8
11/1/20,-0.79938,-2.09532,35.61,18979.1,1900.3,2.43,15022.7943,37.13,76.9
12/1/20,-0.69431,-1.99025,37.03,19133.2,1863.5,2.23,15041.4091,20.77,80.7
1/1/21,-0.30724,-1.72578,37.84,19359.7,1856,2.16,15096.0805,26.97,79
2/1/21,-0.01389,-1.43243,38.48,19596.7,1867,2.16,15217.1887,30.24,76.8
3/1/21,-0.03723,-1.45577,38.4,19823.4,1808.2,2.13,15338.5385,23.35,84.9
4/1/21,-1.32524,-2.78281,40.22,20161.7,1718.2,1.97,15417.6911,17.33,88.3
5/1/21,-2.16468,-3.62225,40.01,20430.6,1761.7,2,15555.0076,18.31,82.9
6/1/21,-2.90319,-4.36076,40.15,20472.9,1853.2,1.92,15603.4649,17.9,85.5
7/1/21,-2.88735,-4.31647,40.94,20628.2,1834.6,1.92,15676.2442,15.48,81.2
8/1/21,-2.66863,-4.09775,41.49,20811,1807.1,1.96,15772.3228,19.46,70.3
9/1/21,-2.64364,-4.07276,41.07,20979.2,1784,1.86,15889.9438,16.11,72.8
10/1/21,-3.00326,-4.69283,40.64,21142.3,1777.3,1.77,16062.7894,21.15,71.7
11/1/21,-3.41442,-5.10399,42.05,21316.8,1776.9,1.72,16214.8243,16.41,67.4
12/1/21,-4.03416,-5.72372,41.72,21471,1820.2,1.84,16402.3724,31.12,70.6
1/1/22,-4.29844,-5.71723,40.19,21587.3,1786.7,1.82,16560.7534,16.6,67.2
2/1/22,-4.52552,-5.9443,38.37,21685,1816.8,2.04,16652.9556,21.96,62.8
3/1/22,-4.35031,-5.76909,37.24,21721.3,1856.3,2.16,16800.062,33.32,59.4
4/1/22,-3.40731,-4.60591,36.8,21750,1947.8,1.91,16909.77,19.63,65.2
5/1/22,-3.11981,-4.31841,33.29,21690.7,1933.9,2.22,17030.9956,32.34,58.4
6/1/22,-2.76797,-3.96657,31.52,21642.9,1848.3,2.13,17157.9903,25.69,50
7/1/22,-3.00047,-4.28855,31.46,21641.7,1833.8,2.31,17265.2558,26.7,51.5
8/1/22,-3.39379,-4.68187,33.28,21606.9,1736.4,2.25,17339.0374,22.84,58.2
9/1/22,-3.1129,-4.40098,30.6,21521.1,1765.7,2.17,17358.4794,25.56,58.6
10/1/22,-2.31578,-3.56399,29.35,21424.5,1683,2.28,17367.2741,30.1,59.9
11/1/22,-2.07484,-3.32304,30.75,21358.1,1664.5,2.18,17401.4529,25.81,56.7
12/1/22,-2.06401,-3.31222,30.68,21219.1,1726.5,1.97,17508.7842,19.84,59.8
1/1/23,-2.00907,-3.1936,30.69,21205.3,1796.7,1.97,17533.9915,22.9,64.9
2/1/23,-1.74546,-2.92999,31.32,21184.5,1898.6,1.84,17565.3449,17.87,66.9
3/1/23,-1.90282,-3.08735,30.25,20876.2,1854.5,2.05,17459.8767,20.58,62
4/1/23,-2.05375,-3.10455,31.15,20729.8,1912.7,2.07,17339.1688,18.55,63.7
5/1/23,-1.76627,-2.81708,31.14,20801.2,2000.4,2.2,17322.0301,16.08,59
6/1/23,-1.10767,-2.15848,32.41,20782.7,1990.2,2,17278.7934,15.65,64.2
7/1/23,-0.80347,-1.78511,33.43,20772.1,1942.9,1.84,17276.0778,13.57,71.5
8/1/23,-0.23485,-1.2165,32.78,20746.9,1948.9,1.85,17280.7175,13.93,69.4
9/1/23,0.24464,-0.73701,32.23,20720.5,1920,1.78,17286.0248,13.09,67.8
10/1/23,0.77436,-0.09059,31.11,20687.4,1917,1.83,17278.7304,17.61,63.8
11/1/23,0.48523,-0.37972,32.45,20696.8,1913,1.79,17268.7106,16.87,61.3
12/1/23,0.10636,-0.75859,33.99,20701.4,1985.3,1.62,17344.4519,12.63,69.7
1/1/24,0.19327,-0.69745,34.62,20773.1,2029.3,1.62,17401.856,13.2,79
2/1/24,0.44212,-0.4486,35.68,20861.1,2034,1.56,17441.3242,13.88,76.9
3/1/24,0.39547,-0.49525,36.44,20901.1,2023.2,1.54,17553.3117,13.11,79.4
4/1/24,0.91639,0.0586,35.76,20932.7,2158,1.46,17529.9346,13.65,77.2
5/1/24,1.08949,0.23169,36.43,20997.7,2335.5,1.47,17576.799,15.39,69.1
6/1/24,1.04944,0.19165,37.53,21065.6,2352.1,1.51,17665.8415,13.11,68.2
