Variable,ADF Statistic,p-value,Lags Used,Observations
Real_Rate,-2.0449166286365195,0.2672323817722878,4,409
Policy_Deviations,-2.6492273766599235,0.08324368151161471,4,409
Baa_Spread,-3.4520150561053966,0.009308435645407486,4,409
VIX,-4.502857312075266,0.00019431541413139576,4,409
Michigan_Sentiment,-2.419208272824744,0.13638824330122212,4,409
TR_CAPE_YoY,-4.596233552017547,0.00013125023863045493,4,397
M2_YoY,-3.0861251401883765,0.027597175580738167,4,397
Gold_YoY,-3.8825976302995993,0.002166717941097915,4,397
BankCredit_YoY,-3.7244776542286426,0.003781735051413324,4,397
